event_type,sub_event_type,actor1,inter1,admin2,source_scale,fatalities
Battles,Armed clash,NPA: New People's Army,2,Nueva Ecija,National,0
Explosions/Remote violence,Grenade,NPA: New People's Army,2,Bukidnon,National,0
Violence against civilians,Attack,Military Forces of the Philippines (2016-),1,Davao de Oro,Local partner-Other,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Batangas,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Rizal,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Laguna,National,1
Battles,Armed clash,NPA: New People's Army,2,Negros Oriental,National,0
Battles,Armed clash,NPA: New People's Army,2,Negros Oriental,National,0
Battles,Armed clash,ASG: Abu Sayyaf,2,Sulu,National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cavite,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Laguna,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Quezon,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Quezon,National,1
Explosions/Remote violence,Grenade,Unidentified Armed Group (Philippines),3,Maguindanao,National,0
Battles,Armed clash,NPA: New People's Army,2,Batangas,National,0
Battles,Armed clash,NPA: New People's Army,2,Negros Occidental,National,1
Battles,Armed clash,Armed Drug Suspects (Philippines),3,Metro Manila,National,2
Violence against civilians,Attack,NPA: New People's Army,2,Negros Occidental,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Misamis Oriental,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Misamis Oriental,National,1
Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Philippines),3,Maguindanao,National,0
Battles,Armed clash,ASG: Abu Sayyaf,2,Sulu,National,4
Strategic developments,Agreement,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,South Cotabato,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Sarangani,National,1
Battles,Armed clash,AKP: Ansar al-Khilafah in the Philippines,2,Sarangani,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Laguna,National,2
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Basilan,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Maguindanao,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cebu,National,1
Battles,Armed clash,NPA: New People's Army,2,Camarines Sur,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Misamis Oriental,Subnational,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Abra,National,2
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,National,1
Battles,Armed clash,NPA: New People's Army,2,Bukidnon,National,1
Violence against civilians,Attack,Private Security Forces (Philippines),8,Negros Occidental,Local partner-Other,9
Strategic developments,Agreement,NPA: New People's Army,2,Zamboanga Sibugay,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Leyte,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Laguna,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,2
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Nueva Ecija,National,1
Battles,Armed clash,CPP-NPA-NDF: Communist Party of the Philippines-New People's Army-National Democratic Front,3,Camarines Sur,National,3
Strategic developments,Looting/property destruction,NPA: New People's Army,2,Negros Oriental,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Leyte,National,2
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Pampanga,Local partner-Other,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cebu,National,3
Battles,Armed clash,Armed Drug Suspects (Philippines),3,Cotabato,National,0
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Batangas,National,1
Battles,Armed clash,NPA: New People's Army,2,Aurora,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Isabela,National,0
Violence against civilians,Attack,NPA: New People's Army,2,Negros Oriental,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,South Cotabato,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Rizal,National,3
Battles,Armed clash,Maute Group,2,Davao del Sur,National,2
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Battles,Armed clash,NPA: New People's Army,2,Quezon,National,0
Battles,Armed clash,NPA: New People's Army,2,Camarines Norte,National,2
Battles,Armed clash,NPA: New People's Army,2,Sultan Kudarat,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Cebu,National,4
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Batangas,Local partner-Other,1
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Lanao del Norte,National,0
Battles,Armed clash,Armed Drug Suspects (Philippines),3,Cotabato,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Isabela,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Siquijor,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,2
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Zamboanga del Sur,National,0
Battles,Armed clash,NPA: New People's Army,2,Agusan del Sur,Subnational,0
Violence against civilians,Attack,Sultan Kudarat Clan Militia (Philippines),4,Maguindanao,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Cebu,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Battles,Armed clash,NPA: New People's Army,2,Davao de Oro,National,0
Battles,Armed clash,ASG: Abu Sayyaf,2,Sulu,National,2
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Pampanga,National,1
Battles,Armed clash,NPA: New People's Army,2,Bukidnon,National,1
Battles,Armed clash,NPA: New People's Army,2,Bukidnon,National,1
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Metro Manila,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Cebu,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-) Counter Intelligence Task Force,1,Metro Manila,National,1
Battles,Armed clash,NPA: New People's Army,2,Samar,National,2
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Misamis Occidental,Subnational,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Cotabato,National,1
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Violence against civilians,Attack,NPA: New People's Army,2,Negros Oriental,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cavite,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Negros Oriental,Local partner-Other,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Pampanga,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,1
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Lanao del Sur,National,6
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,National,2
Protests,Protest with intervention,Protesters (Philippines),6,Camarines Sur,National,0
Battles,Armed clash,NPA: New People's Army,2,Sarangani,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Pangasinan,National,0
Strategic developments,Agreement,NPA: New People's Army,2,Sultan Kudarat,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Cebu,National,5
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cebu,National,6
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cebu,National,3
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cebu,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Pangasinan,National,1
Violence against civilians,Attack,NPA: New People's Army,2,Zamboanga del Sur,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Cebu,National,1
Strategic developments,Agreement,CPP-NPA-NDF: Communist Party of the Philippines-New People's Army-National Democratic Front,3,Bukidnon,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cavite,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Strategic developments,Other,Matigsalog Ethnic Militia (Philippines),4,Cotabato,Subnational,0
Violence against civilians,Attack,Matigsalog Ethnic Militia (Philippines),4,Cotabato,Subnational,1
Battles,Armed clash,Unidentified Armed Group (Philippines),3,La Union,National,3
Battles,Armed clash,Armed Drug Suspects (Philippines),3,South Cotabato,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Zamboanga del Norte,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Battles,Armed clash,Maute Group,2,Lanao del Norte,National,2
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Bukidnon,Subnational,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Misamis Oriental,National,1
Battles,Armed clash,Armed Drug Suspects (Philippines),3,Cebu,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,South Cotabato,National,3
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Capiz,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Iloilo,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Battles,Armed clash,NPA: New People's Army,2,Sorsogon,National,3
Violence against civilians,Attack,Police Forces of the Philippines (2016-) Criminal Investigation and Detection Group,1,Pampanga,National,2
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Leyte,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Negros Occidental,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-) Criminal Investigation and Detection Group,1,Metro Manila,National,2
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Metro Manila,National,1
Strategic developments,Agreement,NPA: New People's Army,2,Zamboanga del Sur,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-) Criminal Investigation and Detection Group,1,Pampanga,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-) Criminal Investigation and Detection Group,1,Nueva Ecija,National,1
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Cavite,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Cotabato,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-) Criminal Investigation and Detection Group,1,Laguna,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-) Criminal Investigation and Detection Group,1,Batangas,National,1
Violence against civilians,Attack,Military Forces of the Philippines (2016-),1,Maguindanao,Local partner-Other,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-) Criminal Investigation and Detection Group,1,Maguindanao,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-) Criminal Investigation and Detection Group,1,Metro Manila,National,1
Violence against civilians,Abduction/forced disappearance,Military Forces of the Philippines (2016-),1,Metro Manila,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-) Criminal Investigation and Detection Group,1,Isabela,National,1
Strategic developments,Disrupted weapons use,NPA: New People's Army,2,Davao de Oro,National,0
Violence against civilians,Abduction/forced disappearance,ASG: Abu Sayyaf,2,Sulu,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-) Criminal Investigation and Detection Group,1,Isabela,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Cavite,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Rizal,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Quezon,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Laguna,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-) Criminal Investigation and Detection Group,1,Misamis Oriental,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-) Criminal Investigation and Detection Group,1,Misamis Oriental,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Laguna,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Laguna,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Cagayan,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Battles,Armed clash,NPA: New People's Army,2,Sorsogon,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Negros Occidental,National,0
Battles,Armed clash,NPA: New People's Army,2,Misamis Oriental,Subnational,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,South Cotabato,National,3
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Nueva Ecija,National,1
Battles,Armed clash,NPA: New People's Army,2,Misamis Oriental,Subnational,0
Battles,Armed clash,NPA: New People's Army,2,Agusan del Norte,Subnational,0
Strategic developments,Disrupted weapons use,Unidentified Armed Group (Philippines),3,Davao de Oro,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Camarines Sur,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Antique,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cavite,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cavite,National,1
Battles,Armed clash,Armed Drug Suspects (Philippines),3,Davao del Sur,Subnational,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Albay,National,2
Violence against civilians,Attack,NPA: New People's Army,2,Masbate,National,1
Explosions/Remote violence,Remote explosive/landmine/IED,BIFF: Bangsamoro Islamic Freedom Fighters,2,Cotabato,National,0
Battles,Armed clash,NPA: New People's Army,2,Nueva Ecija,National,0
Explosions/Remote violence,Remote explosive/landmine/IED,AKP: Ansar al-Khilafah in the Philippines,2,South Cotabato,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Misamis Oriental,National,1
Battles,Armed clash,NPA: New People's Army,2,Davao del Sur,National,1
Battles,Armed clash,NPA: New People's Army,2,Sultan Kudarat,National,1
Strategic developments,Agreement,ASG: Abu Sayyaf,2,Sulu,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Surigao del Sur,National,1
Battles,Armed clash,NPA: New People's Army,2,Cotabato,Subnational,1
Violence against civilians,Attack,Military Forces of the Philippines (2016-),1,Agusan del Norte,National,1
Violence against civilians,Attack,Dawlah Islamiyah,2,South Cotabato,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Masbate,National,2
Battles,Armed clash,ASG: Abu Sayyaf,2,Sulu,National,7
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Batangas,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Quezon,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Cotabato,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Cebu,National,3
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Metro Manila,National,1
Battles,Armed clash,NPA: New People's Army,2,Davao Oriental,National,3
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cebu,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Cagayan,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Bukidnon,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Tarlac,National,1
Battles,Armed clash,Police Forces of the Philippines (2016-),1,Metro Manila,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Leyte,National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Laguna,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Rizal,National,1
Battles,Armed clash,NPA: New People's Army,2,Camarines Sur,National,2
Battles,Armed clash,NPA: New People's Army,2,Oriental Mindoro,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Negros Occidental,National,1
Strategic developments,Disrupted weapons use,Police Forces of the Philippines (2016-),1,Maguindanao,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cotabato,National,1
Battles,Armed clash,NPA: New People's Army,2,Iloilo,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-) Philippine Drug Enforcement Agency,1,South Cotabato,National,1
Strategic developments,Disrupted weapons use,Police Forces of the Philippines (2016-),1,Maguindanao,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Misamis Oriental,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Iloilo,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Pampanga,National,1
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,4
Battles,Armed clash,Maute Group,2,Lanao del Sur,National,6
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Davao de Oro,Subnational,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Cebu,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cagayan,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Cagayan,National,1
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Metro Manila,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Misamis Oriental,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Metro Manila,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Metro Manila,National,1
Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Philippines),3,Sultan Kudarat,Subnational,2
Battles,Armed clash,NPA: New People's Army,2,Aurora,National,2
Strategic developments,Agreement,NPA: New People's Army,2,Davao del Norte,Subnational,0
Violence against civilians,Attack,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,2
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Bulacan,National,1
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Zamboanga del Norte,National,6
Battles,Armed clash,NPA: New People's Army,2,Mountain Province,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Rizal,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cavite,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Sarangani,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Negros Oriental,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Pampanga,National,1
Battles,Armed clash,NPA: New People's Army,2,Mountain Province,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cavite,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,2
Explosions/Remote violence,Remote explosive/landmine/IED,BIFF: Bangsamoro Islamic Freedom Fighters,2,Sultan Kudarat,National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Oriental Mindoro,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Zamboanga del Sur,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Rizal,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Davao del Sur,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Davao del Sur,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Maguindanao,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Rizal,National,1
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Metro Manila,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Laguna,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Davao del Sur,Subnational,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Batangas,National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Sultan Kudarat,National,2
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Davao del Sur,National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Iloilo,National,1
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Davao del Sur,Subnational,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Masbate,National,2
Violence against civilians,Attack,NPA: New People's Army,2,Masbate,National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cavite,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Rizal,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Benguet,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,South Cotabato,National,2
Battles,Armed clash,NPA: New People's Army,2,Iloilo,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Camarines Sur,National,2
Violence against civilians,Attack,NPA: New People's Army,2,Albay,National,1
Explosions/Remote violence,Remote explosive/landmine/IED,NPA: New People's Army,2,Iloilo,National,0
Explosions/Remote violence,Remote explosive/landmine/IED,NPA: New People's Army,2,Iloilo,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Isabela,National,1
Battles,Armed clash,NPA: New People's Army,2,Masbate,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Eastern Samar,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,National,1
Battles,Armed clash,NPA: New People's Army,2,Northern Samar,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Rizal,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Pangasinan,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Batangas,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Ilocos Sur,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cavite,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cebu,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cebu,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Laguna,National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Laguna,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Negros Occidental,National,1
Battles,Armed clash,ASG: Abu Sayyaf,2,Sulu,National,1
Explosions/Remote violence,Grenade,Unidentified Armed Group (Philippines),3,Cotabato,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Sultan Kudarat,Local partner-Other,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Lanao del Norte,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Batangas,National,1
Explosions/Remote violence,Remote explosive/landmine/IED,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Battles,Armed clash,Armed Drug Suspects (Philippines),3,Batangas,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Laguna,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Batangas,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-) Philippine Drug Enforcement Agency,1,Camarines Sur,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,South Cotabato,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Nueva Ecija,National,1
Battles,Armed clash,General Santos Clan Militia (Philippines),4,South Cotabato,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cagayan,National,1
Battles,Armed clash,NPA: New People's Army,2,Albay,National,2
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Guimaras,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Negros Occidental,National,1
Explosions/Remote violence,Shelling/artillery/missile attack,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,7
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cavite,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Rizal,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Bukidnon,Subnational,1
Battles,Armed clash,NPA: New People's Army,2,Sarangani,Subnational,0
Battles,Armed clash,NPA: New People's Army,2,Agusan del Norte,Subnational,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Cagayan,National,1
Violence against civilians,Attack,Military Forces of the Philippines (2016-),1,Davao de Oro,Local partner-Other,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-) Counter Intelligence Task Force,1,Zamboanga del Sur,National,2
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Davao de Oro,Local partner-Other,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Zamboanga del Sur,International,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cavite,National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-) Philippine Drug Enforcement Agency,1,Tarlac,National,1
Battles,Armed clash,NPA: New People's Army,2,Lanao del Norte,National-Regional,1
Violence against civilians,Abduction/forced disappearance,NPA: New People's Army,2,Lanao del Norte,National-Regional,0
Battles,Armed clash,ASG: Abu Sayyaf,2,Sulu,National,1
Battles,Armed clash,NPA: New People's Army,2,Antique,National,7
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Negros Occidental,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Basilan,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Pampanga,National,1
